Name,TID,InfoTID,SWF,Speed,Hitpoints,UpgradeTimeH,UpgradeResource,UpgradeCost,RequiredTownHallLevel,AttackRange,AttackSpeed,CoolDownOverride,DPS,PreferedTargetDamageMod,DamageRadius,IconSWF,IconExportName,BigPicture,BigPictureSWF,SmallPicture,SmallPictureSWF,Projectile,RageProjectile,PreferedTargetBuilding,DeployEffect,AttackEffect,AttackEffectAlt,HitEffect,IsFlying,AirTargets,GroundTargets,IsJumper,AttackCount,DieEffect,Animation,MaxSearchRadiusForDefender,HousingSpace,SpecialAbilityEffect,RegenerationTimeMinutes,TrainingTime,TrainingResource,TrainingCost,CelebrateEffect,SleepOffsetX,SleepOffsetY,PatrolRadius,AbilityTriggerEffect,AbilityAffectsHero,AbilityAffectsCharacter,AbilityRadius,AbilityTime,AbilityOnce,AbilityCooldown,AbilitySpeedBoost,AbilitySpeedBoost2,AbilityDamageBoostPercent,AbilitySummonTroop,AbilitySummonTroopCount,AbilityStealth,AbilityDamageBoostOffset,AbilityHealthIncrease,AbilityShieldProjectileSpeed,AbilityShieldProjectileDamageMod,AbilityTID,AbilityDescTID,AbilityIcon,AbilityBigPictureExportName,AbilityDelay,StrengthWeight,StrengthWeight2,AlertRadius,Scale,AuraSpell,AuraSpellLevel,AuraTID,AuraDescTID,AuraBigPictureExportName,AbilitySpell,AbilitySpellLevel,RetributionSpell,RetributionSpellLevel,RetributionSpellTriggerHealth,HasAltMode,AltModeFlying,AltModeAnimation,PreferedTargetBuildingClass,NoAttackOverWalls,TargetGroups,FightWithGroups,TargetGroupsRadius,TargetGroupsRange,TargetGroupsMinWeight,SmoothJump,WakeUpSpeed,WakeUpSpace,FriendlyGroupWeight,EnemyGroupWeight,AttackEffectShared,TargetedEffectOffset,TriggersTraps
,,,,,3074,1,,1,9,,,,193,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,34,,,,,,,,,,,,10000,,,22,11,136,,14,,245,1063,,,,,,,,18,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3151,1,,1,9,,,,196,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,35,,,,,,,,,,,,10000,,,22,11,136,,14,,245,1063,,,,,,,,18,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3230,1,,1,9,,,,200,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,36,,,,,,,,,,,,10000,,,22,11,136,,14,,245,1063,,,,,,,,18,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3311,1,,1,9,,,,204,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,37,,,,,,,,,,,,10000,,,22,11,136,,14,,245,1063,,,,,,,,18,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3394,1,,1,9,,,,208,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,38,,,,,,,,,,,,10000,,,22,11,136,,14,,245,1063,,,,,,,,18,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3478,1,,1,9,,,,213,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,39,,,,,,,,,,,,10000,,,23,11,140,,16,,298,1247,,,,,,,,19,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3565,1,,1,10,,,,217,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,40,,,,,,,,,,,,10000,,,23,11,140,,16,,298,1247,,,,,,,,19,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3655,1,,1,10,,,,221,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,41,,,,,,,,,,,,10000,,,23,11,140,,16,,298,1247,,,,,,,,19,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3746,1,,1,10,,,,226,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,42,,,,,,,,,,,,10000,,,23,11,140,,16,,298,1247,,,,,,,,19,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3840,1,,1,10,,,,230,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,43,,,,,,,,,,,,10000,,,23,11,140,,16,,298,1247,,,,,,,,19,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3936,1,,1,10,,,,235,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,44,,,,,,,,,,,,10000,,,24,12,144,,18,,354,1455,,,,,,,,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4034,1,,1,10,,,,239,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,45,,,,,,,,,,,,10000,,,24,12,144,,18,,354,1455,,,,,,,,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4135,1,,1,10,,,,244,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,46,,,,,,,,,,,,10000,,,24,12,144,,18,,354,1455,,,,,,,,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4238,1,,1,10,,,,249,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,47,,,,,,,,,,,,10000,,,24,12,144,,18,,354,1455,,,,,,,,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4344,1,,1,10,,,,254,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,48,,,,,,,,,,,,10000,,,24,12,144,,18,,354,1455,,,,,,,,20,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4453,1,,1,10,,,,259,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl3,,,,49,,,,,,,,,,,,10000,,,25,12,150,,20,,414,1692,,,,,,,,21,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4564,1,,1,11,,,,275,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl4,,,,50,,,,,,,,,,,,10000,,,25,12,150,,20,,414,1692,,,,,,,,21,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4678,1,,1,11,,,,281,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl4,,,,51,,,,,,,,,,,,10000,,,25,12,150,,20,,414,1692,,,,,,,,21,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4795,1,,1,11,,,,287,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl4,,,,52,,,,,,,,,,,,10000,,,25,12,150,,20,,414,1692,,,,,,,,21,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4915,1,,1,11,,,,293,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl4,,,,53,,,,,,,,,,,,10000,,,25,12,150,,20,,414,1692,,,,,,,,21,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5038,1,,1,11,,,,299,,,,,,,,,,,,,,,,,,,,,,BarbarianKing_lvl4,,,,54,,,,,,,,,,,,10000,,,26,13,155,,30,,600,5000,,,,,,,,22,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archer Queen,TID_ARCHER_QUEEN,TID_HERO_INSTRUCTIONS_QUEEN,sc/characters.cs,300,725,1,DarkElixir,1,9,500,750,,160,1,,sc/ui.sc,icon_hero_archerQueen,unit_archerQueen_big,sc/info_archer.sc,unit_archerQueen_small,sc/ui.sc,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,Archer Queen Deploy,ArcherQueen attack,,Archer Queen Hit,false,true,true,false,,Archer Queen Die,ArcherQueen_lvl1,1000,25,Building Ready,10,,Elixir,,Archer Queen Scream,70,-50,300,Queen Ability Effect,true,,2500,0,true,0,,,,Archer,0,true,0,0,,,TID_HERO_ABILITY_QUEEN_TITLE,TID_HERO_ABILITY_QUEEN_DESC,icon_hero_archerQueen_ability1,unit_archerQueen_ability1_big,0,37,28,1300,,,,,,,,,,,,,,,,,,,,,,,,,3000,500,,-50,true
,,,,,740,1,,1,9,,,,164,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl1,,,,11,,,,,,,,,,,,0,,,,,,,0,,0,0,,,,,,,,37,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,755,1,,1,9,,,,168,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl1,,,,12,,,,,,,,,,,,0,,,,,,,0,,0,0,,,,,,,,37,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,771,1,,1,9,,,,172,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl1,,,,13,,,,,,,,,,,,0,,,,,,,0,,0,0,,,,,,,,37,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,787,1,,1,9,,,,176,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl1,,,,14,,,,,,,,,,,,3600,,,,,,,5,,300,150,,,,,,,,38,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,804,1,,1,9,,,,181,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl1,,,,15,,,,,,,,,,,,3600,,,,,,,5,,300,150,,,,,,,,38,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,821,1,,1,9,,,,185,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl1,,,,16,,,,,,,,,,,,3600,,,,,,,5,,300,150,,,,,,,,38,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,838,1,,1,9,,,,190,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl1,,,,17,,,,,,,,,,,,3600,,,,,,,5,,300,150,,,,,,,,38,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,856,1,,1,9,,,,194,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl1,,,,18,,,,,,,,,,,,3600,,,,,,,5,,300,150,,,,,,,,38,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,874,1,,1,9,,,,199,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl2,,,,19,,,,,,,,,,,,3800,,,,,,,6,,355,175,,,,,,,,39,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,892,1,,1,9,,,,204,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl2,,,,20,,,,,,,,,,,,3800,,,,,,,6,,355,175,,,,,,,,39,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,911,1,,1,9,,,,209,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl2,,,,21,,,,,,,,,,,,3800,,,,,,,6,,355,175,,,,,,,,39,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,930,1,,1,9,,,,215,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl2,,,,22,,,,,,,,,,,,3800,,,,,,,6,,355,175,,,,,,,,39,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,949,1,,1,9,,,,220,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl2,,,,23,,,,,,,,,,,,3800,,,,,,,6,,355,175,,,,,,,,39,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,969,1,,1,9,,,,226,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl2,,,,24,,,,,,,,,,,,4000,,,,,,,7,,416,200,,,,,,,,40,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,990,1,,1,9,,,,231,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl2,,,,25,,,,,,,,,,,,4000,,,,,,,7,,416,200,,,,,,,,40,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1010,1,,1,9,,,,237,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl2,,,,26,,,,,,,,,,,,4000,,,,,,,7,,416,200,,,,,,,,40,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1032,1,,1,9,,,,243,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl2,,,,27,,,,,,,,,,,,4000,,,,,,,7,,416,200,,,,,,,,40,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1053,1,,1,9,,,,249,,,,,,,,,ArcherQueen arrow lvl1,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl2,,,,28,,,,,,,,,,,,4000,,,,,,,7,,416,200,,,,,,,,40,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1076,1,,1,9,,,,255,,,,,,,,,ArcherQueen arrow lvl2,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl3,,,,29,,,,,,,,,,,,4200,,,,,,,8,,483,225,,,,,,,,41,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1098,1,,1,9,,,,262,,,,,,,,,ArcherQueen arrow lvl2,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl3,,,,30,,,,,,,,,,,,4200,,,,,,,8,,483,225,,,,,,,,41,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1121,1,,1,9,,,,268,,,,,,,,,ArcherQueen arrow lvl2,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl3,,,,31,,,,,,,,,,,,4200,,,,,,,8,,483,225,,,,,,,,41,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1145,1,,1,9,,,,275,,,,,,,,,ArcherQueen arrow lvl2,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl3,,,,32,,,,,,,,,,,,4200,,,,,,,8,,483,225,,,,,,,,41,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1169,1,,1,9,,,,282,,,,,,,,,ArcherQueen arrow lvl2,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl3,,,,33,,,,,,,,,,,,4200,,,,,,,8,,483,225,,,,,,,,41,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1193,1,,1,9,,,,289,,,,,,,,,ArcherQueen arrow lvl2,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl3,,,,34,,,,,,,,,,,,4400,,,,,,,9,,557,250,,,,,,,,42,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1218,1,,1,9,,,,296,,,,,,,,,ArcherQueen arrow lvl2,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl3,,,,35,,,,,,,,,,,,4400,,,,,,,9,,557,250,,,,,,,,42,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1244,1,,1,9,,,,304,,,,,,,,,ArcherQueen arrow lvl2,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl3,,,,36,,,,,,,,,,,,4400,,,,,,,9,,557,250,,,,,,,,42,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1270,1,,1,9,,,,311,,,,,,,,,ArcherQueen arrow lvl2,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl3,,,,37,,,,,,,,,,,,4400,,,,,,,9,,557,250,,,,,,,,42,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1297,1,,1,9,,,,319,,,,,,,,,ArcherQueen arrow lvl2,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl3,,,,38,,,,,,,,,,,,4400,,,,,,,9,,557,250,,,,,,,,42,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1324,1,,1,9,,,,327,,,,,,,,,ArcherQueen arrow lvl2,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl3,,,,39,,,,,,,,,,,,4600,,,,,,,10,,638,275,,,,,,,,43,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1352,1,,1,10,,,,335,,,,,,,,,ArcherQueen arrow lvl2,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl3,,,,40,,,,,,,,,,,,4600,,,,,,,10,,638,275,,,,,,,,43,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1380,1,,1,10,,,,344,,,,,,,,,ArcherQueen arrow lvl2,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl3,,,,41,,,,,,,,,,,,4600,,,,,,,10,,638,275,,,,,,,,43,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1409,1,,1,10,,,,352,,,,,,,,,ArcherQueen arrow lvl2,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl3,,,,42,,,,,,,,,,,,4600,,,,,,,10,,638,275,,,,,,,,43,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1439,1,,1,10,,,,361,,,,,,,,,ArcherQueen arrow lvl2,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl3,,,,43,,,,,,,,,,,,4600,,,,,,,10,,638,275,,,,,,,,43,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1469,1,,1,10,,,,370,,,,,,,,,ArcherQueen arrow lvl2,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl3,,,,44,,,,,,,,,,,,4800,,,,,,,11,,725,300,,,,,,,,44,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1500,1,,1,10,,,,379,,,,,,,,,ArcherQueen arrow lvl2,ArcherQueen arrow rage,,,,,,,,,,,,ArcherQueen_lvl3,,,,45,,,,,,,,,,,,4800,,,,,,,11,,725,300,,,,,,,,44,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
